id_animal,ano_nascimento,sexo,peso_nascer,gpd_pre_desmama,peso_desmama,gpd_pos_desmama,peso_adulto,custo_mantenca,receita_estimada,lucro
1,2021,F,30.943642138975648,0.808356716219527,198.5827900716302,0.5373486798854339,376.51354727712237,1997.5924804182748,3137.6128939760197,1140.0204135577449
2,2018,M,27.91074183033135,0.6441022261306054,177.24495500847237,0.27294182812746304,282.05352186681915,2039.7811236330172,2350.4460155568263,310.66489192380914
3,2022,M,28.12076951748419,0.4172327232422874,141.27910597154246,0.2779456778353625,263.405292231306,1813.4565725937653,2195.0441019275504,381.58752933378514
4,2019,M,34.9563967938668,0.9284951024150806,241.58758134730124,0.8447246676659931,524.8746662510007,2276.4021654233934,4373.955552091673,2097.5533866682795
5,2021,M,29.25732708333115,0.9505565941529892,242.17632479343928,0.6232168163100339,446.38841194242355,1951.6162756560077,3719.9034328535295,1768.2871571975218
6,2017,F,31.098123168833524,0.8937416127832583,234.3256438942526,0.5115041313581328,423.3096712423056,1958.469599192419,3527.5805936858806,1569.1109944934615
7,2021,F,27.571772149084573,0.9218432722992994,221.00421535956386,0.6859083434094669,460.7817102879149,2111.6439119303664,3839.8475857326243,1728.203673802258
8,2022,M,30.27622233613276,0.883963335811713,241.02864012162937,0.6323905673284517,455.2151634195497,2066.434300944156,3793.459695162914,1727.0253942187583
9,2019,M,31.334284927007587,0.8238759296793207,217.46686053104733,0.5075185905069883,380.94623422068383,1924.2935928820905,3174.551951839032,1250.2583589569415
10,2018,M,24.964764196034658,0.7461449715302516,206.21006341010036,0.4057221199606489,355.38062324971133,1890.905303330885,2961.505193747594,1070.599890416709
11,2022,M,31.89609041540213,0.8983213123930617,226.1793020537532,0.882711879914357,516.0644226625827,2252.6067627869493,4300.536855521523,2047.9300927345735
12,2022,M,29.460947270547646,0.6928200305237622,200.9976490610003,0.5892662649791999,412.4925513896045,1966.1468445647681,3437.437928246704,1471.2910836819358
13,2017,M,27.74770206318525,0.6809158411375167,188.44127265434201,0.3138252286052022,306.8431890159838,1766.1268947475708,2557.0265751331985,790.8996803856278
14,2020,F,31.43214505586762,0.8435084085981861,222.99323154830557,0.6684616889216618,425.2576390066474,1924.821604382205,3543.8136583887285,1618.9920540065236
15,2019,M,32.92001671564851,0.8317839317137273,220.9668380103564,0.9823688598482787,535.9436441067432,2210.1224864962537,4466.197034222861,2256.074547726607
